homeShotsOutPenaltyArea,homeAttThSucPaAccuracy,homeAttThPass,guestAttThSucPaAccuracy,guestKeyPasses,guestBreakThrows,guestShots,half,guestAttThPass,homeShots,guestShotsOnTargetObox,guestShotsInPenaltyArea,guestShotsOutPenaltyArea,guestCenter,guestShotsOnTargetIbox,homeBreakThrows,matchHalf,homeShotsInPenaltyArea,matchId,homeShotsOnTargetObox,homeKeyPasses,homeShotsOnTargetIbox,homeCenter,l_team,r_team
4,0.5,34,0.562,7,12,8,0,89,7,1,4,4,22,1,16,0,3,1437,1,4,3,7,浙江毅腾,新疆天山雪豹
2,0.524,21,0.513,1,5,2,1,39,3,0,2,0,13,1,8,0,1,1437,1,1,1,5,浙江毅腾,新疆天山雪豹
2,0.462,13,0.6,6,7,6,2,50,4,1,2,4,9,0,8,0,2,1437,0,3,2,2,浙江毅腾,新疆天山雪豹
7,0.604,48,0.736,6,16,9,0,87,9,1,7,2,10,3,5,0,2,1439,2,5,1,12,梅州客家,大连一方
4,0.25,12,0.735,3,10,5,1,49,4,1,3,2,7,2,1,0,0,1439,2,2,0,7,梅州客家,大连一方
3,0.722,36,0.737,3,6,4,2,38,5,0,4,0,3,1,4,0,2,1439,0,3,1,5,梅州客家,大连一方
10,0.6,95,0.591,7,8,10,0,66,20,1,7,3,24,2,15,0,10,1440,1,14,5,19,武汉卓尔,保定容大
6,0.741,27,0.537,4,4,6,1,41,9,1,3,3,17,1,8,0,3,1440,0,6,1,7,武汉卓尔,保定容大
4,0.544,68,0.68,3,4,4,2,25,11,0,4,0,7,1,7,0,7,1440,1,8,4,12,武汉卓尔,保定容大
5,0.731,108,0.443,3,9,8,0,61,16,1,6,2,14,2,7,0,11,1438,2,11,9,24,青岛黄海制药,北京北控
0,0.74,50,0.462,0,4,4,1,26,7,0,3,1,5,1,3,0,7,1438,0,5,5,13,青岛黄海制药,北京北控
5,0.724,58,0.429,3,5,4,2,35,9,1,3,1,9,1,4,0,4,1438,2,6,4,11,青岛黄海制药,北京北控
5,0.556,81,0.719,8,16,15,0,64,8,0,9,6,13,5,17,0,3,1443,2,1,1,14,北京人和,上海申鑫
3,0.51,49,0.714,4,8,6,1,21,3,0,2,4,5,1,11,0,0,1443,1,0,0,7,北京人和,上海申鑫
2,0.625,32,0.721,4,8,9,2,43,5,0,7,2,8,4,6,0,3,1443,1,1,1,7,北京人和,上海申鑫
9,0.739,138,0.576,2,14,5,0,33,17,2,3,2,5,2,9,0,8,1441,1,12,3,25,石家庄永昌,云南丽江
6,0.788,52,0.545,1,6,3,1,11,10,1,2,1,3,1,3,0,4,1441,0,7,1,9,石家庄永昌,云南丽江
3,0.709,86,0.591,1,8,2,2,22,7,1,1,1,2,1,6,0,4,1441,1,5,2,16,石家庄永昌,云南丽江
3,0.729,48,0.644,9,18,9,0,45,18,0,2,7,10,0,25,0,15,1442,1,10,10,9,深圳佳兆业,大连超越
1,0.632,19,0.647,4,10,4,1,17,10,0,0,4,5,0,12,0,9,1442,0,6,7,8,深圳佳兆业,大连超越
2,0.793,29,0.643,5,8,5,2,28,8,0,2,3,5,0,13,0,6,1442,1,4,3,1,深圳佳兆业,大连超越
7,0.607,56,0.589,8,14,13,0,73,14,0,8,5,20,3,39,0,7,1444,1,6,5,18,杭州绿城,呼和浩特中优
4,0.542,24,0.571,4,5,5,1,21,4,0,3,2,7,1,20,0,0,1444,1,1,0,6,杭州绿城,呼和浩特中优
3,0.656,32,0.596,4,9,8,2,52,10,0,5,3,13,2,19,0,7,1444,0,5,5,12,杭州绿城,呼和浩特中优
8,0.739,111,0.522,4,8,7,0,46,17,1,5,2,13,3,14,0,9,1447,3,9,4,18,北京人和,大连超越
3,0.673,49,0.526,4,4,5,1,19,5,1,3,2,6,1,5,0,2,1447,1,3,2,9,北京人和,大连超越
5,0.79,62,0.519,0,4,2,2,27,12,0,2,0,7,2,9,0,7,1447,2,6,2,9,北京人和,大连超越
3,0.635,85,0.633,7,28,10,0,79,7,2,5,5,8,1,22,0,4,1451,0,5,2,16,北京北控,大连一方
1,0.52,25,0.562,4,14,5,1,48,3,1,2,3,5,0,12,0,2,1451,0,2,0,5,北京北控,大连一方
2,0.683,60,0.742,3,14,5,2,31,4,1,3,2,3,1,10,0,2,1451,0,3,2,11,北京北控,大连一方
1,0.531,49,0.665,10,12,12,0,155,8,1,8,4,26,1,13,0,7,1450,0,5,4,17,梅州客家,武汉卓尔
1,0.567,30,0.671,5,6,6,1,70,6,0,4,2,12,0,6,0,5,1450,0,3,3,8,梅州客家,武汉卓尔
0,0.474,19,0.659,5,6,6,2,85,2,1,4,2,14,1,7,0,2,1450,0,2,1,9,梅州客家,武汉卓尔
1,0.611,72,0.659,10,12,16,0,85,8,2,9,7,19,5,8,0,7,1448,1,7,2,14,云南丽江,深圳佳兆业
1,0.571,21,0.65,3,8,4,1,40,4,0,3,1,7,1,6,0,3,1448,1,2,1,2,云南丽江,深圳佳兆业
0,0.627,51,0.667,7,4,12,2,45,4,2,6,6,12,4,2,0,4,1448,0,5,1,12,云南丽江,深圳佳兆业
6,0.682,88,0.699,9,10,9,0,83,14,1,5,4,15,0,14,0,8,1446,2,7,5,20,上海申鑫,呼和浩特中优
2,0.683,63,0.583,0,5,0,1,36,7,0,0,0,9,0,7,0,5,1446,0,3,4,16,上海申鑫,呼和浩特中优
4,0.68,25,0.787,9,5,9,2,47,7,1,5,4,6,0,7,0,3,1446,2,4,1,4,上海申鑫,呼和浩特中优
5,0.657,108,0.68,6,5,7,0,75,13,1,4,3,15,0,27,0,8,1445,1,12,2,34,杭州绿城,新疆天山雪豹
4,0.659,41,0.732,3,1,4,1,56,7,1,3,1,8,0,16,0,3,1445,0,7,0,18,杭州绿城,新疆天山雪豹
1,0.657,67,0.526,3,4,3,2,19,6,0,1,2,7,0,11,0,5,1445,1,5,2,16,杭州绿城,新疆天山雪豹
11,0.612,116,0.475,5,6,10,0,40,21,2,5,5,10,1,12,0,10,1449,3,11,2,39,石家庄永昌,保定容大
3,0.6,50,0.409,5,4,9,1,22,8,2,5,4,7,1,2,0,5,1449,1,5,1,15,石家庄永昌,保定容大
8,0.621,66,0.556,0,2,1,2,18,13,0,0,1,3,0,10,0,5,1449,2,6,1,24,石家庄永昌,保定容大
10,0.565,62,0.618,6,21,9,0,55,18,0,6,3,16,1,28,0,8,1452,2,9,3,21,浙江毅腾,青岛黄海制药
5,0.697,33,0.769,2,8,3,1,26,9,0,3,0,7,1,9,0,4,1452,1,5,1,11,浙江毅腾,青岛黄海制药
5,0.414,29,0.483,4,13,6,2,29,9,0,3,3,9,0,19,0,4,1452,1,4,2,10,浙江毅腾,青岛黄海制药
5,0.646,79,0.524,2,5,3,0,42,12,1,2,1,7,1,7,0,7,1459,2,9,2,34,呼和浩特中优,大连超越
2,0.593,27,0.435,0,2,1,1,23,4,0,1,0,6,1,3,0,2,1459,1,4,0,10,呼和浩特中优,大连超越
3,0.673,52,0.632,2,3,2,2,19,8,1,1,1,1,0,4,0,5,1459,1,5,2,24,呼和浩特中优,大连超越
3,0.651,106,0.594,2,6,3,0,64,7,0,3,0,9,0,11,0,4,1453,1,5,1,32,青岛黄海制药,新疆天山雪豹
2,0.629,62,0.577,1,1,1,1,26,4,0,1,0,2,0,4,0,2,1453,1,2,1,20,青岛黄海制药,新疆天山雪豹
1,0.682,44,0.605,1,5,2,2,38,3,0,2,0,7,0,7,0,2,1453,0,3,0,12,青岛黄海制药,新疆天山雪豹
9,0.633,60,0.59,3,10,9,0,61,16,0,7,2,17,3,21,0,7,1457,2,8,4,9,深圳佳兆业,保定容大
5,0.722,36,0.611,0,3,1,1,18,8,0,1,0,6,1,12,0,3,1457,2,5,0,5,深圳佳兆业,保定容大
4,0.5,24,0.581,3,7,8,2,43,8,0,6,2,11,2,9,0,4,1457,0,3,4,4,深圳佳兆业,保定容大
4,0.61,41,0.742,9,13,12,0,120,10,2,4,8,29,1,12,0,6,1460,0,8,1,11,杭州绿城,上海申鑫
2,0.467,15,0.61,3,6,4,1,41,6,0,2,2,12,0,8,0,4,1460,0,5,1,6,杭州绿城,上海申鑫
2,0.692,26,0.81,6,7,8,2,79,4,2,2,6,17,1,4,0,2,1460,0,3,0,5,杭州绿城,上海申鑫
6,0.709,103,0.719,4,13,8,0,64,13,1,5,3,10,1,12,0,7,1455,3,8,1,12,武汉卓尔,北京北控
4,0.696,69,0.6,1,5,3,1,20,7,0,3,0,4,0,4,0,3,1455,3,4,0,10,武汉卓尔,北京北控
2,0.735,34,0.773,3,8,5,2,44,6,1,2,3,6,1,8,0,4,1455,0,4,1,2,武汉卓尔,北京北控
3,0.653,72,0.444,0,13,1,0,45,11,0,0,1,7,0,15,0,8,1454,1,7,4,13,大连一方,浙江毅腾
2,0.605,38,0.364,0,5,1,1,11,6,0,0,1,1,0,5,0,4,1454,1,3,2,8,大连一方,浙江毅腾
1,0.706,34,0.471,0,8,0,2,34,5,0,0,0,6,0,10,0,4,1454,0,4,2,5,大连一方,浙江毅腾
13,0.76,150,0.692,5,17,8,0,39,23,0,2,6,7,0,36,0,10,1458,4,17,0,21,北京人和,云南丽江
6,0.788,80,0.5,2,6,2,1,10,10,0,1,1,2,0,17,0,4,1458,2,8,0,10,北京人和,云南丽江
7,0.729,70,0.759,3,11,6,2,29,13,0,1,5,5,0,19,0,6,1458,2,9,0,11,北京人和,云南丽江
7,0.629,143,0.571,3,8,5,0,28,18,0,3,2,4,1,14,0,11,1456,1,10,5,40,石家庄永昌,梅州客家
1,0.659,41,0.545,1,5,2,1,22,3,0,2,0,3,1,10,0,2,1456,0,0,1,9,石家庄永昌,梅州客家
