guestShotsBlocks,guestIntercepttions,guestRedCard,guestYellowCard,half,homeYellowCard,homeTacklesConneceded,guestPassBlocks,homePassBlocks,homeClearances,matchHalf,homeRedCard,guestTackles,homeShotsBlocks,homeFoul,guestFoul,matchId,homeIntercepttions,homeTackles,guestClearances,guestTacklesConneceded,l_team,r_team
0,13,0,3,0,3,0,6,12,35,0,0,13,7,17,22,17301,6,4,9,0,广州恒大淘宝,上海绿地申花
0,9,0,1,1,1,0,2,6,26,0,0,5,3,8,8,17301,3,2,4,0,广州恒大淘宝,上海绿地申花
0,4,0,2,2,2,0,4,6,9,0,0,8,4,9,14,17301,3,2,5,0,广州恒大淘宝,上海绿地申花
4,3,0,0,0,1,0,5,10,13,0,0,3,0,15,11,17302,9,11,18,0,武汉卓尔,青岛黄海青港
1,1,0,0,1,1,0,2,5,9,0,0,0,0,7,5,17302,1,2,9,0,武汉卓尔,青岛黄海青港
3,2,0,0,2,0,0,3,5,4,0,0,3,0,8,6,17302,8,9,9,0,武汉卓尔,青岛黄海青港
2,6,0,0,0,2,0,11,13,16,0,0,17,6,11,16,17303,5,10,21,0,大连人,山东鲁能泰山
0,3,0,0,1,1,0,6,12,11,0,0,12,3,5,8,17303,1,5,7,0,大连人,山东鲁能泰山
2,3,0,0,2,1,0,5,1,5,0,0,5,3,6,8,17303,4,5,14,0,大连人,山东鲁能泰山
5,6,0,2,0,0,0,5,10,10,0,0,19,3,23,17,17304,12,23,10,0,深圳佳兆业,广州富力
3,3,0,1,1,0,0,3,4,3,0,0,12,2,12,9,17304,3,15,9,0,深圳佳兆业,广州富力
2,3,0,1,2,0,0,2,6,7,0,0,7,1,11,8,17304,9,8,1,0,深圳佳兆业,广州富力
1,7,0,4,0,4,0,3,6,30,0,1,12,4,11,12,17305,2,4,18,0,河北华夏幸福,石家庄永昌
1,5,0,1,1,2,0,3,3,16,0,1,7,3,6,2,17305,1,1,11,0,河北华夏幸福,石家庄永昌
0,2,0,3,2,2,0,0,3,14,0,0,5,1,5,10,17305,1,3,7,0,河北华夏幸福,石家庄永昌
8,5,1,2,0,3,0,10,13,8,0,0,6,2,20,16,17306,7,8,18,0,重庆当代,北京中赫国安
1,2,1,1,1,2,0,1,7,5,0,0,5,1,11,7,17306,2,4,11,0,重庆当代,北京中赫国安
7,3,0,1,2,1,0,9,6,3,0,0,1,1,9,9,17306,5,4,7,0,重庆当代,北京中赫国安
1,3,0,2,0,3,0,7,10,20,0,0,19,1,22,17,17307,3,16,21,0,河南建业,江苏苏宁易购
1,2,0,0,1,1,0,2,5,13,0,0,8,0,10,10,17307,2,6,11,0,河南建业,江苏苏宁易购
0,1,0,2,2,2,0,5,5,7,0,0,11,1,12,7,17307,1,10,10,0,河南建业,江苏苏宁易购
3,9,0,1,0,1,0,7,11,21,0,0,9,4,16,11,17308,12,8,18,0,天津泰达,上海上港
1,3,0,1,1,1,0,2,7,12,0,0,6,3,11,5,17308,6,7,7,0,天津泰达,上海上港
2,6,0,0,2,0,0,5,4,9,0,0,3,1,5,6,17308,6,1,11,0,天津泰达,上海上港
0,9,0,1,0,2,0,9,10,36,0,0,10,4,13,17,17309,15,10,8,0,上海绿地申花,深圳佳兆业
0,7,0,0,1,1,0,4,5,13,0,0,7,1,6,9,17309,7,6,7,0,上海绿地申花,深圳佳兆业
0,2,0,1,2,1,0,5,5,23,0,0,3,3,7,8,17309,8,4,1,0,上海绿地申花,深圳佳兆业
8,16,0,1,0,3,0,8,8,11,0,0,16,4,14,8,17310,11,16,9,0,广州富力,广州恒大淘宝
3,5,0,1,1,1,0,2,2,4,0,0,9,1,8,4,17310,5,10,4,0,广州富力,广州恒大淘宝
5,11,0,0,2,2,0,6,6,7,0,0,7,3,6,4,17310,6,6,5,0,广州富力,广州恒大淘宝
1,11,1,2,0,1,0,7,6,17,0,0,12,0,15,15,17311,7,10,16,0,江苏苏宁易购,山东鲁能泰山
1,6,0,0,1,0,0,3,3,11,0,0,5,0,8,7,17311,3,6,5,0,江苏苏宁易购,山东鲁能泰山
0,5,1,2,2,1,0,4,3,6,0,0,7,0,7,8,17311,4,4,11,0,江苏苏宁易购,山东鲁能泰山
1,19,0,1,0,2,0,0,6,21,0,1,15,3,20,8,17312,17,16,14,0,大连人,河南建业
0,8,0,0,1,0,0,0,3,7,0,0,9,1,7,4,17312,8,7,10,0,大连人,河南建业
1,11,0,1,2,2,0,0,3,14,0,1,6,2,13,4,17312,9,9,4,0,大连人,河南建业
1,13,0,1,0,2,0,7,10,14,0,0,8,3,12,12,17313,6,11,9,0,北京中赫国安,武汉卓尔
0,10,0,0,1,2,0,3,5,6,0,0,2,1,6,5,17313,5,3,5,0,北京中赫国安,武汉卓尔
1,3,0,1,2,0,0,4,5,8,0,0,6,2,6,7,17313,1,8,4,0,北京中赫国安,武汉卓尔
2,14,0,3,0,1,0,7,9,14,0,0,10,1,7,21,17314,13,8,20,0,石家庄永昌,青岛黄海青港
2,4,0,0,1,1,0,4,5,10,0,0,9,0,2,11,17314,6,3,10,0,石家庄永昌,青岛黄海青港
0,10,0,3,2,0,0,3,4,4,0,0,1,1,5,10,17314,7,5,10,0,石家庄永昌,青岛黄海青港
6,9,0,1,0,0,0,3,5,13,0,0,7,0,20,12,17315,8,10,11,0,上海上港,河北华夏幸福
4,4,0,0,1,0,0,2,4,7,0,0,5,0,6,6,17315,2,5,6,0,上海上港,河北华夏幸福
2,5,0,1,2,0,0,1,1,6,0,0,2,0,14,6,17315,6,5,5,0,上海上港,河北华夏幸福
2,5,0,3,0,1,0,11,13,16,0,1,12,2,15,19,17316,5,15,17,0,重庆当代,天津泰达
2,3,0,2,1,1,0,5,8,13,0,0,6,0,5,7,17316,5,7,9,0,重庆当代,天津泰达
0,2,0,1,2,1,0,6,5,3,0,1,6,2,10,12,17316,0,8,8,0,重庆当代,天津泰达
3,8,0,1,0,1,0,10,7,8,0,0,7,0,19,18,17317,13,8,22,0,深圳佳兆业,广州恒大淘宝
0,2,0,1,1,0,0,6,6,5,0,0,3,0,9,11,17317,8,7,6,0,深圳佳兆业,广州恒大淘宝
3,6,0,0,2,1,0,4,1,3,0,0,4,0,10,7,17317,5,1,16,0,深圳佳兆业,广州恒大淘宝
2,16,0,4,0,3,0,6,6,20,0,0,17,3,15,18,17318,14,13,25,0,江苏苏宁易购,大连人
