guestFrontFreeKicks,guestInitAttackRate,guestFreekiscks,guestCorners,guestPassesSuccRate,guestPass,guestShots,guestGoals,half,homeFreekiscks,guestShotsOnTarget,homePassesSuccRate,homeFrontFreeKicks,homePass,homeInitAttackRate,homeGoals,homePenalties,homeShots,homeCorners,guestPenalties,homePossAve,matchHalf,matchId,guestPossAve,homeShotsOnTarget,l_team,r_team
8,0.611,25,2,0.748,449,13,0,0,22,3,0.691,6,346,0.389,2,0,4,1,0,0.456,0,15141,0.544,3,辽宁沈阳宏运,新疆天山雪豹
5,0.578,12,1,0.742,209,6,0,1,12,1,0.665,4,167,0.422,2,0,3,0,0,0.449,0,15141,0.551,3,辽宁沈阳宏运,新疆天山雪豹
3,0.639,13,1,0.754,240,7,0,2,10,2,0.715,2,179,0.361,0,0,1,1,0,0.463,0,15141,0.537,0,辽宁沈阳宏运,新疆天山雪豹
14,0.625,31,8,0.775,378,13,0,0,12,5,0.713,4,317,0.375,3,1,11,3,0,0.463,0,15143,0.537,6,北京北控燕京,浙江毅腾
7,0.585,16,2,0.769,182,4,0,1,6,2,0.634,2,142,0.415,2,1,4,2,0,0.428,0,15143,0.572,3,北京北控燕京,浙江毅腾
7,0.657,15,6,0.781,196,9,0,2,6,3,0.777,2,175,0.343,1,0,7,1,0,0.495,0,15143,0.505,3,北京北控燕京,浙江毅腾
5,0.538,23,4,0.753,348,15,0,0,20,5,0.784,8,366,0.462,2,0,8,2,0,0.518,0,15146,0.482,4,浙江绿城,呼和浩特
1,0.569,9,2,0.738,191,6,0,1,8,4,0.78,3,191,0.431,0,0,3,1,0,0.503,0,15146,0.497,1,浙江绿城,呼和浩特
4,0.509,14,2,0.771,157,9,0,2,12,1,0.789,5,175,0.491,2,0,5,1,0,0.535,0,15146,0.465,3,浙江绿城,呼和浩特
6,0.298,23,1,0.66,241,8,1,0,20,3,0.808,11,567,0.702,2,0,15,4,0,0.634,0,15147,0.366,6,石家庄永昌,梅州客家
4,0.281,12,0,0.655,116,3,1,1,9,2,0.782,6,262,0.719,1,0,7,2,0,0.618,0,15147,0.382,4,石家庄永昌,梅州客家
2,0.311,11,1,0.664,125,5,0,2,11,1,0.83,5,305,0.689,1,0,8,2,0,0.648,0,15147,0.352,2,石家庄永昌,梅州客家
0,0.274,9,2,0.695,311,5,1,0,14,2,0.839,4,665,0.726,0,0,16,10,0,0.624,0,15148,0.376,4,梅县铁汉生态,延边富德
0,0.364,3,1,0.677,164,2,1,1,8,1,0.821,2,313,0.636,0,0,4,2,0,0.604,0,15148,0.396,0,梅县铁汉生态,延边富德
0,0.199,6,1,0.714,147,3,0,2,6,1,0.855,2,352,0.801,0,0,12,8,0,0.644,0,15148,0.356,4,梅县铁汉生态,延边富德
5,0.425,19,5,0.683,259,13,2,0,27,6,0.634,13,284,0.575,2,0,17,12,1,0.538,0,15142,0.462,6,深圳佳兆业,黑龙江火山鸣泉
